赛事,日期,主队,比分,客队
NBA,2026-05-09,克利夫兰骑士,116-109,底特律活塞
NBA,2026-05-07,底特律活塞,107-97,克利夫兰骑士
NBA,2026-05-05,底特律活塞,111-101,克利夫兰骑士
NBA,2026-03-04,克利夫兰骑士,113-109,底特律活塞
NBA,2026-02-28,底特律活塞,122-119,克利夫兰骑士
NBA,2026-01-04,克利夫兰骑士,110-114,底特律活塞
NBA,2025-10-27,底特律活塞,95-116,克利夫兰骑士
NBA,2025-10-14,克利夫兰骑士,118-100,底特律活塞
NBA,2025-03-28,底特律活塞,133-122,克利夫兰骑士
NBA,2025-02-06,底特律活塞,115-118,克利夫兰骑士
NBA,2025-01-28,克利夫兰骑士,110-91,底特律活塞
NBA,2024-10-25,克利夫兰骑士,113-101,底特律活塞
NBA,2024-02-01,克利夫兰骑士,128-121,底特律活塞
NBA,2023-11-18,克利夫兰骑士,108-100,底特律活塞
NBA,2023-03-05,克利夫兰骑士,114-90,底特律活塞
NBA,2023-02-09,克利夫兰骑士,113-85,底特律活塞
NBA,2022-03-20,克利夫兰骑士,113-109,底特律活塞
NBA,2021-11-13,克利夫兰骑士,98-78,底特律活塞
